           #Qpath      Energy(meV)           S(Q,E)
  2.2194813857E-02  3.5087719298E-01  1.7140231000E+09
  2.2194813857E-02  4.0100250627E-01  1.6699426966E+09
  2.2194813857E-02  4.5112781955E-01  1.6213387514E+09
  2.2194813857E-02  5.0125313283E-01  1.5686760029E+09
  2.2194813857E-02  5.5137844612E-01  1.5124465615E+09
  2.2194813857E-02  6.0150375940E-01  1.4531622953E+09
  2.2194813857E-02  6.5162907268E-01  1.3913471372E+09
  2.2194813857E-02  7.0175438596E-01  1.3275294756E+09
  2.2194813857E-02  7.5187969925E-01  1.2622347794E+09
  2.2194813857E-02  8.0200501253E-01  1.1959785986E+09
  2.2194813857E-02  8.5213032581E-01  1.1292600648E+09
  2.2194813857E-02  9.0225563910E-01  1.0625559993E+09
  2.2194813857E-02  9.5238095238E-01  9.9631571685E+08
  2.2194813857E-02  1.0025062657E+00  9.3095659093E+08
  2.2194813857E-02  1.0526315789E+00  8.6686042519E+08
  2.2194813857E-02  1.1027568922E+00  8.0437065457E+08
  2.2194813857E-02  1.1528822055E+00  7.4379037754E+08
  2.2194813857E-02  1.2030075188E+00  6.8538120228E+08
  2.2194813857E-02  1.2531328321E+00  6.2936287115E+08
  2.2194813857E-02  1.3032581454E+00  5.7591361247E+08
  2.2194813857E-02  1.3533834586E+00  5.2517115575E+08
  2.2194813857E-02  1.4035087719E+00  4.7723433564E+08
  2.2194813857E-02  1.4536340852E+00  4.3216520309E+08
  2.2194813857E-02  1.5037593985E+00  3.8999155680E+08
  2.2194813857E-02  1.5538847118E+00  3.5070980666E+08
  2.2194813857E-02  1.6040100251E+00  3.1428808086E+08
  2.2194813857E-02  1.6541353383E+00  2.8066949168E+08
  2.2194813857E-02  1.7042606516E+00  2.4977547935E+08
  2.2194813857E-02  1.7543859649E+00  2.2150915996E+08
  2.2194813857E-02  1.8045112782E+00  1.9575861109E+08
  2.2194813857E-02  1.8546365915E+00  1.7240003749E+08
  2.2194813857E-02  1.9047619048E+00  1.5130076809E+08
  2.2194813857E-02  1.9548872180E+00  1.3232204543E+08
  2.2194813857E-02  2.0050125313E+00  1.1532157745E+08
  2.2194813857E-02  2.0551378446E+00  1.0015583109E+08
  2.2194813857E-02  2.1052631579E+00  8.6682055200E+07
  2.2194813857E-02  2.1553884712E+00  7.4760028173E+07
  2.2194813857E-02  2.2055137845E+00  6.4253532481E+07
  2.2194813857E-02  2.2556390977E+00  5.5031564235E+07
  2.2194813857E-02  2.3057644110E+00  4.6969290724E+07
